Number,In Charge,STUDY ACCCESSION,PUBMEDID,LINK,DATASETS,Consortia,NOTES
420,Domante,GCST000258,18978792,www.ncbi.nlm.nih.gov/pubmed/18978792,Juvenile Diabetes Research Foundation/Wellcome Trust Diabetes and Inflammation Laboratorys British case collection (JDRF/WT); British 1958 Birth Cohort Study (B58C); Diabetes UK Warren I repository (DUKW-I); U.S.A. Human Biological Data Interchange (HBDI); Diabetes UK Warren III repository (DUKW-III); NO NAME; NO NAME; NO NAME; National Institute of Mental Health (NIMH); Genetics of Kidneys in Diabetes Study (GoKinD),,
421,Domante,GCST001394,22293688,www.ncbi.nlm.nih.gov/pubmed/22293688,Wellcome Trust Case Control Consortium (WTCCC),,
422,Domante,GCST001135,21738484,www.ncbi.nlm.nih.gov/pubmed/21738484,Genetic Association Information Network (GAIN); Wellcome Trust Case Control Consortium (WTCCC); Translational Genomics Research Institute (TGEN); North Shore University Health System (NSUHS),,
423,Domante,GCST001585,22747683,www.ncbi.nlm.nih.gov/pubmed/22747683,23andMe (23andMe),,
424,Domante,GCST004124,28053049,www.ncbi.nlm.nih.gov/pubmed/28053049,Atherosclerosis Risk in Communities Study (ARIC); Precocious Coronary Artery Disease Study (PROCARDIS); Gutenberg Health Study I (GHS-I); Gutenberg Health Study II (GHS-II); Marseille Thrombosis Association (MARTHA); F5Leiden Cohort (F5Leiden); Queensland study of Melanoma: Environment and Genetic Associations (Q-MEGA); GAIT2 (GAIT2),,
425,Domante,GCST000875,21088011,www.ncbi.nlm.nih.gov/pubmed/21088011,German Myocardial Infarction Family Study III (GerMIFS III); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); The Population Genetic Cohort (POPGEN); German Myocardial Infarction Family Study I (GerMIFS I); German Myocardial Infarction Family Study II (GerMIFS II); Luebeck Angiographic Study (Angio-Lueb); CAD-Erlangen study (CAD-Erlangen),,
426,Domante,GCST000291,19060909,www.ncbi.nlm.nih.gov/pubmed/19060909,Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Inter99 Study (Inter99); Northern Finnish Birth Cohort Study 1986 (NFBC1986); Hageunau (Hageunau); STANISLAS Family Study (SFS); Fleurbaix-Laventie Ville Sant_ II study (FLVS-II); NO NAME,,
427,Domante,GCST001869,23423446,www.ncbi.nlm.nih.gov/pubmed/23423446,Mammary Carcinoma Risk Factor Investigation (MARIE); Singapore and Sweden Breast Cancer Study (SASBAC); Nurses Health Study (NHS); British Breast Cancer Study (BBCS); CECILE Breast Cancer Study (CECILE); Gene Environment Interaction and Breast Cancer in Germany (GENICA); Kuopio Breast Cancer Project (KBCP); Mayo Clinic Breast Cancer Study (MCBCS); Taiwanese Breast Cancer Study (TWBCS); UCI Breast Cancer Study (UCIBCS),Breast Cancer Association Consortium (BCAC),
428,Domante,GCST001670,22951725,www.ncbi.nlm.nih.gov/pubmed/22951725,NO NAME,,Han Chinese
429,Domante,GCST000225,18758464,www.ncbi.nlm.nih.gov/pubmed/18758464,NO NAME; Childrens Hospital of Philadelphia (CHOP),,various hospitals
430,Domante,GCST002084,23817571,www.ncbi.nlm.nih.gov/pubmed/23817571,Avon Longitudinal Study of Parents and Children (ALSPAC); British 1958 Birth Cohort Study (B58C); Lifestyle Immune System Allergy study (LISA); Prevention and Incidence of Asthma and Mite Allergy birth cohort study (PIAMA); Western Australian Pregnancy Cohort Study (RAINE); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Manchester Asthma and Allergy Study (MAAS); Copenhagen Study on Asthma in Childhood (COPSAC); Australian Asthma Genetics Consortium (AAGC); Childrens Hospital of Philadelphia (CHOP); Northern Finnish Birth Cohort Study 1986 (NFBC1986); deCODE Genetics (deCODE); Health2006 Study (Health2006); CAGS (CAGS),,
431,Domante,GCST000058,17634447,www.ncbi.nlm.nih.gov/pubmed/17634447,Program in Sleep at Emory University (PSEU); NO NAME,,
432,Domante,GCST002943,26028593,www.ncbi.nlm.nih.gov/pubmed/26028593,NO NAME,,Han Chinese
433,Domante,GCST000240,20031538,www.ncbi.nlm.nih.gov/pubmed/20031538,"Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Copenhagen City Heart Study (CCHS)",,
434,Domante,GCST000363,19305408,www.ncbi.nlm.nih.gov/pubmed/19305408,Framingham Heart Study (FHS); Rotterdam Study (RS); Cardiovascular Health Study (CHS),,
435,Domante,GCST000232,18794853,www.ncbi.nlm.nih.gov/pubmed/18794853,North American Rheumatoid Arthritis Consortium (NARAC); Epidemiological Investigation of Rheumatoid Arthritis (EIRA); Wellcome Trust Case Control Consortium (WTCCC); New York Cancer Project (NYCP); Nurses Health Study (NHS); Brigham Rheumatoid Arthritis Sequential Study (BRASS); Genomics Collaborative Initiative (GCI); Leiden University Medical Center (LUMC); Genetics Network Rheumatology Amsterdam (GENRA),,
436,Domante,GCST000364,19305409,www.ncbi.nlm.nih.gov/pubmed/19305409,Atherosclerosis Risk in Communities Study (ARIC); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); SardiNIA Study of Aging (SardiNIA); GenNOVA (GenNOVA); Heinz Nixdorf Recall Study (HNR),,
437,Domante,GCST001106,21666691,www.ncbi.nlm.nih.gov/pubmed/21666691,NO NAME,,
438,Domante,GCST002700,25420145,www.ncbi.nlm.nih.gov/pubmed/25420145,Vobarno Study (Vobarno); Monitoring National du risque Art_rie (MONA-LISA); Utah Cervical Artery Dissection Collection (UCADC); Genetics of Early Onset Stroke (GEOS); Besta Cerebrovascular Diseases Registry (CEDIR); Ischemic Stroke Genetics Study (ISGS); Virginia Cervical Artery Dissection (VCAD); Rotterdam Study (RS); Spanish Cervical Artery Dissection Collection (SCADC); Gothenburg Cervical Artery Dissection Collection (GCADC); Muenster Cervical Artery Dissection Collection (MCADC); Nijmegen Cervical Artery Dissection Collection (NCADC); Stroke In Young Fabry Patients (SIFAP); Cooperative Health Research in the Region of Augsburg (KORA); Cervical Artery Dissection and Ischemic Stroke Patients (CADISP); Bio-Repository of DNA in Stroke (BRAINS); Siblings with Ischemic Stroke Study (SWISS),,
439,Domante,GCST001634,22885925,www.ncbi.nlm.nih.gov/pubmed/22885925,NO NAME,,Han Chinese
440,Domante,GCST000570,20081856,www.ncbi.nlm.nih.gov/pubmed/20081856,Wellcome Trust Case Control Consortium (WTCCC); Systematic Treatment Enhancement Program for Bipolar Disorder (STEP); Genetic Association Information Network (GAIN); National Institute of Mental Health (NIMH); NO NAME,,
441,Domante,GCST003195,26685716,www.ncbi.nlm.nih.gov/pubmed/26685716,Childrens Hospital of Philadelphia (CHOP); Atherosclerosis Risk in Communities Study (ARIC); Framingham Heart Study (FHS); Rotterdam Study (RS),,
442,Domante,GCST002615,25233373,www.ncbi.nlm.nih.gov/pubmed/25233373,Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Age-Related Eye Disease Study (AREDS); Framingham Eye Study (FES); Multi-Ethnic Study of Atherosclerosis (MESA); Ogliastra Genetic Park-Talana Study (OGP-Talana); Rotterdam Eye Study (RotES); Erasmus Rucphen Family Study (ERF); Blue Mountain Eye Study (BMES); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); CROATIA-Korcula Study (CROATIA-KORCULA); Diabetes Control and Complication Trial (DCCT); Orkney Complex Disease Study (ORCADES),,
443,Domante,GCST002013,23667675,www.ncbi.nlm.nih.gov/pubmed/23667675,BioBank Japan Project (BBJ),,
444,Domante,GCST003145,26416757,www.ncbi.nlm.nih.gov/pubmed/26416757,"Medical Research Council Unit, The Gambia (MRCUTG); Malawi-Liverpool Wellcome Clinical Research Programme, Blantyre (MLWCRP); KEMRI-Wellcome Research Programme, Kilifi (KEMRI); University of Bamako, Mali (Bamako); Centre National de Recherche et de Formation sur le Paludisme (CNRFP); Navrongo Memorial Institute (NMI); Kwame Nkrumah University of Science and Technology (KNUST); University of Buea (Buea); Joint Malaria Programme, Kilimanjaro Christian Medical Centre (JMPKCMC)",,
445,Domante,GCST002890,25939597,www.ncbi.nlm.nih.gov/pubmed/25939597,"Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC); Cancer Prevention Study II (CPS-II); Health Professional Follow-up Study (HPFS); French Prostate Cancer Case-Control Study (CeRePP)",,
446,Domante,GCST000756,20700443,www.ncbi.nlm.nih.gov/pubmed/20700443,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Study of Health in Pomerania (SHIP),CHARGE,
447,Domante,GCST000847,21060863,www.ncbi.nlm.nih.gov/pubmed/21060863,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Rotterdam Study (RS); Australian Twin-Family Studies (AUSTWIN); UK Adult Twin Register (TwinsUK); Beaver Dam Eye Study (BDES); Blue Mountain Eye Study (BMES),CHARGE,
448,Domante,GCST000389,19426955,www.ncbi.nlm.nih.gov/pubmed/19426955,Childhood Asthma Management Program (CAMP); British 1958 Birth Cohort Study (B58C); Childrens Health Study (CHS_b); Childrens Hospital of Philadelphia (CHOP); Framingham Heart Study (FHS); MRC-A/UK-C (MRC-A/UK-C); Genetics of Asthma in Costa Rica Study (GACRS); Genomic Research on Asthma in the African Diaspora (GRAAD),,
449,Domante,GCST000400,19448622,www.ncbi.nlm.nih.gov/pubmed/19448622,Prospective Epidemiological Risk Factor study (PERF); Icelandic cohort (Icelandic); Danish National Birth Cohort (DNBC); Nijmegen Biomedical Study (NBS),,
450,Domante,GCST000646,20364137,www.ncbi.nlm.nih.gov/pubmed/20364137,NO NAME; NO NAME; NO NAME; NO NAME; Rotterdam Study (RS); Health 2000 Study (Health 2000); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Cooperative Health Research in the Region of Augsburg (KORA); The Population Genetic Cohort (POPGEN); BioBank Japan Project (BBJ); NO NAME,,
451,Domante,GCST002553,25086665,www.ncbi.nlm.nih.gov/pubmed/25086665,"Agricultural Health Study (AHS); Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC); Cancer Prevention Study II (CPS-II); European Prospective Investigation into Cancer (EPIC); Health Professional Follow-up Study (HPFS); Melbourne Collaborative Cohort Study (MCCS); Multiethnic Cohort Study of Diet and Health (MEC); Nurses Health Study (NHS); Physicians Health Study (PHS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Selenium and Vitamin E Cancer Prevention Trial (SELECT)",,
452,Domante,GCST000612,20190752,www.ncbi.nlm.nih.gov/pubmed/20190752,British 1958 Birth Cohort Study (B58C); FINRISK (FINRISK); Health 2000 Study (Health 2000); The Mayo Clinic study (MAYO); NO NAME,,
453,Domante,GCST003566,27386562,www.ncbi.nlm.nih.gov/pubmed/27386562,NO NAME; Cooperative Health Research in the Region of Augsburg (KORA); Heinz Nixdorf Recall Study (HNR); Study of Health in Pomerania (SHIP); DOGS (DOGS); FoCus (FoCus); The Population Genetic Cohort (POPGEN),,
454,Domante,GCST003520,27354352,www.ncbi.nlm.nih.gov/pubmed/27354352,Shanghai Breast Cancer Study (SBCS); Shanghai Breast Cancer Survival Study (SBCSS); Shanghai Endometrial Cancer Study (SECS); Shanghai Womens Health Study (SWHS); Seoul Breast Cancer Study (SeBCS); Korean Genome Epidemiology Study (KoGES); Korean Hereditary Breast Cancer study (KOHBRA); Hwasun Cancer Epidemiology Study-Breast (HCES-Br); BioBank Japan Project (BBJ); Nagoya Study (Nagoya); Nagano Breast Cancer Study (NagBCS),,
455,Domante,GCST002756,25607358,www.ncbi.nlm.nih.gov/pubmed/25607358,Alzheimers Disease Neuroimaging Initiative (ADNI); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Austrian Stroke Prevention Study (ASPS); TheBetula Study (BETULA); Bipolar Family Study (BFS); Brain Imaging Genetics (BIG); Brain Genomics Superstruct Project (GSP); Cardiovascular Health Study (CHS); EPIGEN (EPIGEN); Framingham Heart Study (FHS); Genetic STudy of Aspirin Responsiveness (GeneSTAR); HUBIN (HUBIN); IMAGEN (IMAGEN); IMpACT (IMpACT); Lothian Birth Cohort Studies 1936 (LBC1936); Mind Clinical Imaging Consortium (MCIC); Systematic Investigation of the Molecular Causes of Major Mood Disorders and Schizophrenia (MooDS); Munich Morphometry Sample (MPIP); Norwegian Cognitive NeuroGenetics Study (NCNG); NeuroIMAGE (NeuroIMAGE); NIMH Intramural Research Program (NIMH-IRP); Netherlands Twin Registry (NTR); Older Australian Twins Study (OATS); Osaka (Osaka); PAFIP (PAFIP); QTIM (QTIM); Rotterdam Study (RS); Study of Health in Pomerania (SHIP); Sydney Memory and Ageing Study (MAS); Saguenay Youth Study (SYS); Thematically Organized Psychoses Research Study (TOP); Three City Study (3C); UCLA_NL_BP (UCLA_NL_BP); UKBEC (UKBEC); University of Warwick (Warwick),ENIGMA; CHARGE,
456,Domante,GCST000811,20872241,www.ncbi.nlm.nih.gov/pubmed/20872241,National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); Epidemiological Investigation of Rheumatoid Arthritis (EIRA); Finnish Genome Center (FGC); NO NAME; NO NAME,,
457,Domante,GCST003010,26129866,www.ncbi.nlm.nih.gov/pubmed/26129866,NO NAME,,Chinese and Koreans
458,Domante,GCST004030,27992413,www.ncbi.nlm.nih.gov/pubmed/27992413,"UK National Health Service Trusts (UKHST); PSC Resource of Genetic Risk, Environment and Synergy Studies (PROGRESS)",,
459,Domante,GCST004642,28749367,www.ncbi.nlm.nih.gov/pubmed/28749367,Atherosclerosis Risk in Communities Study (ARIC); Womens Health Initiative (WHI),,
460,Domante,GCST003966,27918534,www.ncbi.nlm.nih.gov/pubmed/27918534,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Dallas Heart Study (DaHS); Family Heart Study (FamHS); Fels Longitudinal Study (Fels); Framingham Heart Study (FHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Health, Aging, and Body Composition Study (Health ABC); Jackson Heart Study (JHS); Multi-Ethnic Study of Atherosclerosis (MESA); MRCOB (MRCOB); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Study of Health in Pomerania (SHIP); The older order AMISH population studies (AMISH)",,
461,Domante,GCST001038,21533175,www.ncbi.nlm.nih.gov/pubmed/21533175,"UK Adult Twin Register (TwinsUK); Framingham Heart Study (FHS); Study of Health in Pomerania (SHIP); Rotterdam Study I (RS-I); The Invecchiare in Chianti (InCHIANTI); Health, Aging, and Body Composition Study (Health ABC); Gothenburg Osteoporosis and Obesity Determinants study (GOOD)",,
462,Domante,GCST000329,19182806,www.ncbi.nlm.nih.gov/pubmed/19182806,"deCODE Genetics (deCODE); Department of Neurology, Medical University of Vienna (DNMUV)",,
463,Domante,GCST001716,23100282,www.ncbi.nlm.nih.gov/pubmed/23100282,Heart Protection Study (HPS),,
464,Domante,GCST000580,20139978,www.ncbi.nlm.nih.gov/pubmed/20139978,BioBank Japan Project (BBJ),,
465,Domante,GCST004290,28445677,www.ncbi.nlm.nih.gov/pubmed/28445677,SardiNIA Study of Aging (SardiNIA); Prognostic Genetic factors in Multiple Sclerosis (PROGEMUS); Genes and Environment in Multiple Sclerosis (GEnMS); Epidemiological Investigation of Multiple Sclerosis (EIMS); Genetic Analysis of Multiple Sclerosis (GAMS); GENYO (GENYO); Hospital Clinico Universitario de Santiago (HCUS),,
466,Domante,GCST001432,22396660,www.ncbi.nlm.nih.gov/pubmed/22396660,BioBank Japan Project (BBJ),,
467,Domante,GCST002340,24448986,www.ncbi.nlm.nih.gov/pubmed/24448986,"Asian Consortium, Colorectal Cancer Shanghai-1 (Shanghai-1); Asian Consortium, Colorectal Cancer Shanghai-2 (Shanghai-2); Asian Consortium, Colorectal Cancer Guangzhou-1 (Guangzhou-1); Asian Consortium, Colorectal Cancer Aichi 1 (Aichi-1); Asian Consortium, Colorectal Cancer Guangzhou-2 (Guangzhou-2); Korean-National Cancer Center Study (Korea-NCC); Seoul Study (Korea-Seoul); Korean Cancer Prevention Study II (KCPS-II); BioBank Japan Project (BBJ); Singapore Chinese Study (SCH); Asian Consortium, Colorectal Cancer Aichi-2 (Aichi-2)",Asia Colorectal Cancer Consortium,
468,Domante,GCST002987,26089329,www.ncbi.nlm.nih.gov/pubmed/26089329,"Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Health, Aging, and Body Composition Study (Health ABC); Womens Health Initiative (WHI); Genetics of Early Onset Stroke (GEOS); Ischemic Stroke Genetics Study (ISGS); Vitamin Intervention for Stroke Prevention (VISP); Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS); Siblings with Ischemic Stroke Study (SWISS)",,SWISS and ISGS have the same names
469,Domante,GCST003216,26582766,www.ncbi.nlm.nih.gov/pubmed/26582766,China Atherosclerosis Study (CAS); Beijing Atherosclerosis Study (BAS); Genetic Epidemiology Network of Salt-Sensitivity Study (GenSalt); Guangxi Fangchenggang Area Male Health and Examination Survey (FAMHES); China Cardiovascular Health Study (CCHS_b),,
470,Domante,GCST002879,25802187,www.ncbi.nlm.nih.gov/pubmed/25802187,NO NAME,,Chinese
471,Domante,GCST004294,28440896,www.ncbi.nlm.nih.gov/pubmed/28440896,UCSF Family Alcoholism study (UCSF); Study of Addiction: Genetics and Environment (SAGE); Alcohol Dependence GWAS in European- and African Americans (ADGE); Genetic Architecture of Smoking and Smoking Cessation (GASSC); International Consortium on the Genetics of Heroin Dependence - Center for Inherited Disease Research (ICGHD CIDR); International Consortium on the Genetics of Heroin Dependence - Research on Alcohol and Tobacco Related Phenotypes (ICGHD RATRP); International Consortium on the Genetics of Heroin Dependence - Alcohol Related Conditions (ICGHD ARC); Alcohol Research using Australian twins and their families (OZALC),,
472,Domante,GCST000067,17690259,www.ncbi.nlm.nih.gov/pubmed/17690259,Reykjavik Eye Study (RES); deCODE Genetics (deCODE); NO NAME,,
473,Domante,GCST000303,19096518,www.ncbi.nlm.nih.gov/pubmed/19096518,Womens Genome Health Study (WGHS),,
474,Domante,GCST003604,27503288,www.ncbi.nlm.nih.gov/pubmed/27503288,Taiwan Han Chinese Cell and Genome Bank (THCCGB); Taiwan Biobank (Taiwan),,
475,Domante,GCST001648,22923054,www.ncbi.nlm.nih.gov/pubmed/22923054,"Multiethnic Cohort Study of Diet and Health (MEC); Los Angeles component of The Womens Contraceptive and Reproductive Experiences Study (CARE); Womens Circle of Health Study (WCHS); San Francisco Bay Area Breast Cancer Study (SFBCS); Northern California Breast Cancer Family Registry (NC-BCFR); Carolina Breast Cancer Study (CBCS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Nashville Breast Health Study (NBHS); Wake Forest University Breast Cancer Study (WFBC); Black Womens Health Study (BWHS); Womens Insights and Shared Experiences study (WISE); NBHS/Southern Community Cohort (SCCS); Nigerian Breast Cancer Study (NigBCS); Barbados National Cancer Study (BNCS); Racial Variability in Genotypic Determinants of Breast Cancer Risk Study (RVGBC); Baltimore Breast Cancer Study (BBCS_c); Chicago Cancer Prone Study (CCPS); Womens Health Initiative (WHI)",,
476,Domante,GCST002766,25629512,www.ncbi.nlm.nih.gov/pubmed/25629512,NO NAME; Singapore Chinese Eyes Study (SCES); Singapore Prospective Study Program (SP2); Nagahama Prospective Genome Cohort for the Comprehensive Human Bioscience (Nagahama Study); Singapore Chinese Health Study (SCHS),,
477,Domante,GCST002275,24241537,www.ncbi.nlm.nih.gov/pubmed/24241537,"Copenhagen Study on Asthma in Childhood (COPSAC); Avon Longitudinal Study of Parents and Children (ALSPAC); British 1958 Birth Cohort Study (B58C); Children, Allergy, Milieu, Stockholm, Epidemiology (BAMSE); Busselton Health Study (BHS); Canadian Childhood Cohorts (CAPPS); Study of Addiction: Genetics and Environment (SAGE); European Community Respiratory Health Survey (ECRHS); Epidemiological study of Genetics and Environment of Asthma (EGEA); Gabriel Advanced Survey (GAS); Genetic Association Information Network (GAIN); Karelia Allergy Study  (KARELIA); KMSU (KMSU); Meta-Analyses of Glucose and Insulin-related Traits Consortium (MAGIC); Sydney Memory and Ageing Study (MAS); MRCS-UKC (MRCS-UKC); Prevention and Incidence of Asthma and Mite Allergy birth cohort study (PIAMA); Swiss Study on Air Pollution and Lung Diseases in Adults (SAPALDIA); Saguenay-Lac-Saint-Jean asthma study (SLSJ); TOMSK (TOMSK); UFA (UFA); Manchester Asthma and Allergy Study (MAAS); Generation R Study Group (Generation R)",,
478,Domante,GCST004367,28494655,www.ncbi.nlm.nih.gov/pubmed/28494655,Wellcome Trust Case Control Consortium 3 (WTCCC3); Childrens Hospital of Philadelphia (CHOP); PFCG (PFCG); Genetic Consortium for Anorexia Nervosa (GCAN),,
479,Domante,GCST000336,19197363,www.ncbi.nlm.nih.gov/pubmed/19197363,NO NAME,,
480,Domante,GCST004099,28112199,www.ncbi.nlm.nih.gov/pubmed/28112199,UK MRC Myeloma-IX (UK MRC Myeloma-IX); German Multiple Myeloma Study Group (GMMG); Royal Marsden Hospital Trust/Institute of Cancer Research Family History and DNA Registry (RMHT); German Hodgkin Study Group (GHSG); Leukaemia Research CLL-4 trial (LRCCL-4); UK MRC Myeloma-XI (UK MRC Myeloma-XI),,
481,Domante,GCST000341,19198611,www.ncbi.nlm.nih.gov/pubmed/19198611,Wellcome Trust Case Control Consortium (WTCCC); German Myocardial Infarction Family Study I (GerMIFS I); German Myocardial Infarction Family Study II (GerMIFS II),,
482,Domante,GCST003155,26502338,www.ncbi.nlm.nih.gov/pubmed/26502338,Health and Retirement Study (HRS); NO NAME,,
483,Domante,GCST003831,27611488,www.ncbi.nlm.nih.gov/pubmed/27611488,Childrens Hospital of Philadelphia (CHOP); University of Washington (WASHU); Marshfield Clinic (Marshfield); The Mayo Clinic study (MAYO); Northwestern University (Northwestern); Mount Sinai BioMe BioBank (Mount Sinai); Vanderbilt Genome-Wide Association Studies (Vanderbilt); Geisinger Health System (GeHS),eMERGE,
484,Domante,GCST002260,24204295,www.ncbi.nlm.nih.gov/pubmed/24204295,NO NAME,,Han Chinese
485,Domante,GCST000317,19151714,www.ncbi.nlm.nih.gov/pubmed/19151714,NO NAME; Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Northern Finnish Birth Cohort Study 1986 (NFBC1986),,
486,Domante,GCST000602,20173747,www.ncbi.nlm.nih.gov/pubmed/20173747,German Competence Network for Atrial Fibrillation (AFNET); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Massachusetts General Hospital Atrial Fibrillation Study (MGH); Framingham Heart Study (FHS); Heart and Vascular Health Atrial Fibrillation Study (HVH); Cardiovascular Health Study (CHS); Atherosclerosis Risk in Communities Study (ARIC); Cleveland Clinic Lone Atrial Fibrillation Genebank Study (CCLAFGS); Vanderbilt Genome-Wide Association Studies (Vanderbilt),,
487,Domante,GCST001894,23472165,www.ncbi.nlm.nih.gov/pubmed/23472165,NO NAME,,
488,Domante,GCST003087,26278006,www.ncbi.nlm.nih.gov/pubmed/26278006,The Pakistan Risk Of Myocardial Infarction Study (PROMIS),,
489,Domante,GCST001147,21743057,www.ncbi.nlm.nih.gov/pubmed/21743057,NO NAME,,
490,Domante,GCST002423,24768677,www.ncbi.nlm.nih.gov/pubmed/24768677,Dutch AIH Study Group Consortium (DAIHSGC),,
491,Domante,GCST000641,20351715,www.ncbi.nlm.nih.gov/pubmed/20351715,Wellcome Trust Case Control Consortium (WTCCC),,
492,Domante,GCST001875,23449627,www.ncbi.nlm.nih.gov/pubmed/23449627,Avon Longitudinal Study of Parents and Children (ALSPAC); British 1958 Birth Cohort Study (B58C); Cardiovascular Risk in Young Finns Study (YFS); Helsinki Birth Cohort Study (HBCS); Lifestyle-Immune System-Allergy Plus Environment and Genetics Study (LISAplus); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Queensland Institute of Medical Research (QIMR); Western Australian Pregnancy Cohort Study (RAINE),Early Growth Genetics Consortium,
493,Domante,GCST000367,20031578,www.ncbi.nlm.nih.gov/pubmed/20031578,Womens Genome Health Study (WGHS); Precocious Coronary Artery Disease Study (PROCARDIS),,WGHS and WHS???
494,Domante,GCST001056,21521612,www.ncbi.nlm.nih.gov/pubmed/21521612,Munich Antidepressant Response Signature (MARS); Southern German Recurrent Depression (SGRD); Munich Antidepressant Response Signature (MARS); Erasmus Rucphen Family Study (ERF); Rotterdam Study (RS); RADIANT (RADIANT),,
495,Domante,GCST003758,27579533,www.ncbi.nlm.nih.gov/pubmed/27579533,Pancreatic Cancer Cohort Consortium (PCCC); PANDoRA consortium (PANDoRA),,
496,Domante,GCST001401,22319020,www.ncbi.nlm.nih.gov/pubmed/22319020,Ottawa Heart Genomics Study (OHGS); Wellcome Trust Case Control Consortium (WTCCC); INTERHEART Study (ITH); CATHGEN (CATHGEN); German Myocardial Infarction Family Study (GerMIFS); Cooperative Health Research in the Region of Augsburg (KORA); PennCATH (PennCATH); medSTARCARDIAC catheterization study (MedSTAR),,
497,Domante,GCST000572,20096396,www.ncbi.nlm.nih.gov/pubmed/20096396,NO NAME,,Chinese
498,Domante,GCST000652,20385819,www.ncbi.nlm.nih.gov/pubmed/20385819,NO NAME,,
499,Domante,GCST001983,23620144,www.ncbi.nlm.nih.gov/pubmed/23620144,Health 2000 Study (Health 2000); FINRISK (FINRISK); NO NAME,,
500,Domante,GCST001475,22484627,www.ncbi.nlm.nih.gov/pubmed/22484627,"Avon Longitudinal Study of Parents and Children (ALSPAC); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Northern Finnish Birth Cohort Study 1986 (NFBC1986); British 1958 Birth Cohort Study (B58C); French Case-Control Study (FRENCH); German Infant Study on the influence of Nutrition Intervention (GINI); Western Australian Pregnancy Cohort Study (RAINE); Childrens Hospital of Philadelphia (CHOP); Essen Obesity Study (ESSEN); Helsinki Birth Cohort Study (HBCS); Cardiovascular Risk in Young Finns Study (YFS); Copenhagen Study on Asthma in Childhood (COPSAC); CM-GOYA study (CM-GOYA); Generation R Study Group (Generation R); Healthy Lifestyle in Europe by Nutrition in Adolescence study (HELENA); Northern Ireland Young Hearts Project (YH3, YH2000); Childrens Health Study (CHS_b); INfancia y Medio Ambiente Project (INMA); Project Viva (Viva); Prevention and Incidence of Asthma and Mite Allergy birth cohort study (PIAMA); Severe Childhood Onset Obesity Project United Kingdom (SCOOP-UK); Lifestyle Immune System Allergy study (LISA)",,
501,Domante,GCST000820,20801717,www.ncbi.nlm.nih.gov/pubmed/20801717,NO NAME; Depression Case Control  study (DeCC); Bipolar Affective Case Control Study (BACCS); British 1958 Birth Cohort Study (B58C),,
502,Domante,GCST003590,27412012,www.ncbi.nlm.nih.gov/pubmed/27412012,Cohorte Lausannoise (CoLaus); Family Heart Study (FamHS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Cardiovascular Risk in Young Finns Study (YFS); Bruneck study (BRUNECK); Salzburg Atherosclerosis Prevention Program in subjects at High Individual Risk (SAPHIR),,
