,PUBMEDID,N,In Charge,DATASETS,Consortia,NOTES
484,26780889,49036,Pilar,NO NAME,,
485,21297633,48950,Domante,Womens Cancer Research Institute - Cedars-Sinai Medical Center (WCRI); NO NAME; CHOPSTICKS (CHOPSTICKS); NIDDK (NIDDK); NO NAME; Wellcome Trust Case Control Consortium (WTCCC),,
486,21529783,48588,Pilar,Australian Twin-Family Studies (AUSTWIN); Nicotine Addiction Genetics (NAG); Alcohol Research using Australian twins and their families (OZALC); BIGSIB (BIGSIB); EDAC (EDAC),,
487,22293688,48537,Domante,Wellcome Trust Case Control Consortium (WTCCC),,
488,23535734,48423,Domante,British Heart Foundation Family Heart Study (BHF-FHS); Estonian Genome Center of the University of Tartu (EGCUT); Erasmus Rucphen Family Study (ERF); FINRISK (FINRISK); Nicotine Addiction Genetics � Finland  study (FTC/NAG-FIN); Genetic Regulation of Arterial Pressure in Humans in the Community (GRAPHIC); Helsinki Birth Cohort Study (HBCS); Cooperative Health Research in the Region of Augsburg (KORA); Leiden Longevity Study (LLS); Leiden 85-plus study (L85PLUS); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Netherlands Twin Registry (NTR); PLIC (PLIC); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Brisbane Adolescent Twins Study (BATS); TwinGene Study (TwinGene); UK Adult Twin Register (TwinsUK); UK National Blood Donor Service (UKBS); Telomerase Activity Cohort (TAC),,
489,23749187,48411,Pilar,British 1958 Birth Cohort Study (B58C); UK Blood Services Common Controls (UKSCC),,
490,25105248,48054,Domante,"Multiethnic Cohort Study of Diet and Health (MEC); Colon Cancer Family Registry (CCFR); Japan Public Health Center Study (JPHC); Hawaiian Colorectal Cancer Studies 2&3 (Hawaiian Colo2&3); Fukuoka Colorectal Cancer Study (FCCS); Nagano Colorectal Cancer Study (NCCS); NBHS/Southern Community Cohort (SCCS); MD Anderson Cancer Center Study (MDACCS); University of North Carolina CanCORS study (UNCCanCORS); University of Noth Carolina Rectal Cancer Study (UNC-Rectal); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO)",,
491,22446963,47926,Domante,BioBank Japan Project (BBJ); Kyoto University (Kyoto); Institute of Rheumatology Rheumatoid Arthritis (IORRA); NO NAME,Genetics and allied research in rheumatic diseases Networking consortium (GARNET),
492,25367360,47820,Domante,"British 1958 Birth Cohort Study (B58C); Avon Longitudinal Study of Parents and Children (ALSPAC); Age-Related Eye Disease Study (AREDS); Brisbane Adolescent Twins Study (BATS); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); Erasmus Rucphen Family Study (ERF); Finnish Twin Study on Aging (FITSA); Framingham Eye Study (FES); Gutenberg Health Study (GHS); Cooperative Health Research in the Region of Augsburg (KORA); Ogliastra Genetic Park-Talana Study (OGP-Talana); Orkney Complex Disease Study (ORCADES); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); UK Adult Twin Register (TwinsUK); Wisconsin Epidemiologic Study of Diabetic Retinopathy (WESDR); Cardiovascular Risk in Young Finns Study (YFS); Beijing Eye Study (BES); HK-MGS (HK-MGS); Singapore Chinese Eyes Study (SCES); Singapore Malay Eye Study (SIMES); Singapore Indian Eye Study (SINDI); Singapore Prospective Study Program (SP2); Strabismus, Amblyopia and Refractive Error Study (STARS); Raine Eye Health Study (REHS); Singapore Cohort study Of the Risk factors for Myopia study (SCORM); Twins Eye Study in Tasmania (TEST)",CREAM ,
493,24586183,47799,Domante,United Kingdom Graves disease cohort (UKGDC); British 1958 Birth Cohort Study (B58C); Nijmegen Thyroid Cancer Cohort (NTCC); Ohio Thyroid Cancer Cohort (OTCC); Busselton Health Study (BHS); Cardiovascular Health Study (CHS); Helsinki Birth Cohort Study (HBCS); Cooperative Health Research in the Region of Augsburg (KORA); Nijmegen Biomedical Study (NBS); Rotterdam Study (RS); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Study of Health in Pomerania Trend (SHIP-TREND); UK Adult Twin Register (TwinsUK); Val Borbera (Val Borbera); Asklepios Study (Asklepios); CARLA (CARLA); Exeter Family Study of Childhood Health (EFSOCH); Health2006 Study (Health2006); SardiNIA Study of Aging 2 (SardiNIA2),,
494,29743610,47648,,,,
495,22883433,47616,Pilar,Psychiatric GWAS Consortium (PGC); SGENE plus (SGENE+); Wellcome Trust Case Control Consortium 2 (WTCCC2); Nijmegen Biomedical Study (NBS); British 1958 Birth Cohort Study (B58C),Irish Schizophrenia Genomics Consortium and the Wellcome Trust Case Control Consortium 2,Discovery samples genotyped at Affymetrix's service laboratory on the Genome-Wide Human SNP Array 6.0 are not presented with names.
496,29293537,47612,Pilar,NO NAME,,
497,21076409,47577,Pilar,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); British Genetics of Hypertension study (BRIGHT); Cardiovascular Health Study (CHS); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Korcula Study (CROATIA-KORCULA); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Micro-isolates in South Tyrol Study (MICROS); Orkney Complex Disease Study (ORCADES); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Rotterdam Study (RS); Study of Health in Pomerania (SHIP); UK Adult Twin Register (TwinsUK),,
498,19571808,47536,Domante,SGENE plus (SGENE+); deCODE Genetics (deCODE),,
499,21471458,47501,Domante,NO NAME,,
500,21490707,47431,Pilar,"Atherosclerosis Risk in Communities Study (ARIC); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); Womens Genome Health Study (WGHS)",,
501,26969751,47378,Domante,Western Australian Pregnancy Cohort Study (RAINE); Generation R Study Group (Generation R); Avon Longitudinal Study of Parents and Children (ALSPAC); Lifestyle-Immune System-Allergy Plus Environment and Genetics Study (LISAplus); Cardiovascular Risk in Young Finns Study (YFS); INfancia y Medio Ambiente Project (INMA); Brisbane Longitudinal Twin Study (BLTS),EAGLE; ICBP,
502,20686651,46862,Pilar,Icelandic Kidney Stone Disease Registry at LUH (IKSDR); deCODE Genetics (deCODE); Nijmegen Biomedical Study (NBS); Radboud University Nijmegen Medical Centre (RUNMC); Nijmegen Biomedical Study (NBS),,
503,29527006,46861,Pilar,23andMe (23andMe),,
504,19597492,46736,Pilar,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS),Genomic Epidemiology (CHARGE) AF Consortium,
505,17463246,46551,Pilar,NO NAME; Hapmap (Hapmap),WTCCC; FUSION; UKT2DGC,
506,24931836,46500,Domante,Wellcome Trust Case Control Consortium (WTCCC); NO NAME,,
507,27559109,46473,Pilar,Avon Longitudinal Study of Parents and Children (ALSPAC); Generation R Study Group (Generation R); INfancia y Medio Ambiente Project (INMA); Norwegian Mother and Child Cohort study (MOBA); UK Biobank for Motor Neuron Disease Research (UKMND),,
508,20858683,46368,Pilar,"Atherosclerosis Risk in Communities Study (ARIC); Type 1 Diabetes Genetics Consortium (T1DGC); Wellcome Trust Case Control Consortium (WTCCC); Baltimore Longitudinal Study of Ageing (BLSA); Vis Island Isolate Study (CROATIA); deCODE Genetics (deCODE); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Diabetes Genetics (DIAGEN); European Prospective Investigation into Cancer (EPIC); European Prospective Investigation into Cancer (EPIC); European Prospective Investigation into Cancer (EPIC); Fenland study (Fenland); Framingham Heart Study (FHS); GenomEUtwin study (GenomEUtwin); Health 2000 Study (Health 2000); London Life Sciences Population Study (LOLIPOP); Ludwigshafen Risk and Cardiovascular Health (LURIC); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Metabolic Syndrome In Men (METSIM); NHANES III (NHANES III); Netherlands Twin Registry (NTR); Orkney Complex Disease Study (ORCADES); Partners study (Partners); Precocious Coronary Artery Disease Study (PROCARDIS); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Sorbs population (SORBS); SardiNIA Study of Aging 2 (SardiNIA2); Segovia (Segovia); British 1958 Birth Cohort Study (B58C); Roche Study (Roche)",Meta-Analyses of Glucose and Insulin-Related Traits Consortium,
509,19561606,46283,Domante,"Landspitali University Hospital, Reykjavik (LUHR); deCODE Genetics (deCODE); Radboud University Nijmegen Medical Centre (RUNMC); Nijmegen Biomedical Study (NBS); Prospective Epidemiological Risk Factor study (PERF)",,
510,19648920,46257,Pilar,Memorial-Sloan Kettering Lymphoproliferative disorders Study (MSKCC),,"The rest of the databases are presented without names, only refering to the countries of origin."
511,25187374,46085,Domante,Korean Association Resource Project (KARE); Health Examinee Shared Control Study (HEXA); Cardiovascular Disease Association Study (CAVAS); Singapore Prospective Study Program (SP2); Shanghai Breast Cancer Study (SBCS); Shanghai Mens Health Study (SMHS); Genetic Epidemiology Network of Salt-Sensitivity Study (GenSalt); Cardio-metabolic Genome Epidemiology Study (CAGE); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Cardiometabolic Risk in Chinese (CRC); Korean Cancer Prevention Study II (KCPS-II); Health2 Study (Health2); BioBank Japan Project (BBJ); Shanghai Jiao Tong University Diabetes Study (SJTUDS); Japanese Millenium Genome Project (JMGP); Chinese University of Hong Kong Diabetes Study (CUHKDS); Asian Genetic Epidemiology Network (AGEN),,
512,26604143,46057,Domante,Avon Longitudinal Study of Parents and Children (ALSPAC); Childrens Hospital of Philadelphia (CHOP); Copenhagen Study on Asthma in Childhood 2000 birth cohort (COPSAC-2000); Danish National Birth Cohort (DNBC); Generation R Study Group (Generation R); Genetics of Overweight Young Adults (GOYA); Helsinki Birth Cohort Study (HBCS); INfancia y Medio Ambiente Project (INMA); Leipzig Childhood Obesity cohort (Leipzig); German Infant Study on the influence of Nutrition Intervention (GINI); Manchester Asthma and Allergy Study (MAAS); Norwegian Mother and Child Cohort study (MOBA); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Northern Finnish Birth Cohort Study 1986 (NFBC1986); Netherlands Twin Registry (NTR); Physical Activity and Nutrition in Children Study (PANIC); Western Australian Pregnancy Cohort Study (RAINE); Special Turku Coronary Risk Factor Intervention Project (STRIP); Cardiovascular Risk in Young Finns Study (YFS); British 1958 Birth Cohort Study (B58C); Copenhagen Study on Asthma in Childhood 2010 birth cohort (COPSAC-2010); Prevention and Incidence of Asthma and Mite Allergy birth cohort study (PIAMA); BREATHE (BREATHE); Bone Mineral Density in Childhood Study (BMDCS); TEENs of Attica: Genes and Environment (TEENAGE); Lifestyle Immune System Allergy study (LISA),,
513,20081857,45854,Domante,"Atherosclerosis Risk in Communities Study (ARIC); Diabetes Gene Discovery Group (DGDG); deCODE Genetics (deCODE); Malmo Diet and Cancer Study (MDC); NO NAME; NO NAME; NO NAME; Diabetes Genetics (DIAGEN); European Special Population Network consortium (EUROSPAN); Framingham Heart Study (FHS); NO NAME; Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Cambridgeshire Case-Control Study (CCCS); ADDITION study (ADDITION); Norfolk Diabetes case_control study (NDCCS); Health Professional Follow-up Study (HPFS); Cooperative Health Research in the Region of Augsburg (KORA); Malm� Preventive Project (MPP); Metabolic Syndrome In Men (METSIM); Nurses Health Study (NHS); Roche Study (Roche); Rotterdam Study (RS); Wellcome Trust Case Control Consortium (WTCCC); UK Type 2 Diabetes Genetics Consortium (UK2 GCC); British 1958 Birth Cohort Study (B58C); The older order AMISH population studies (AMISH); Baltimore Longitudinal Study of Ageing (BLSA); Cardiovascular Health Study (CHS); Cohorte Lausannoise (CoLaus); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Botnia Prevalence, Prediction and Prevention of Diabetes study (BPPP); Fenland study (Fenland); Hertfordshire Cohort Study (HerCS); Inter99 Study (Inter99); Relationship between Insulin Sensitivity and Cardiovascular disease (RISC); Sorbs population (SORBS); Uppsala Longitudinal Study of Adult Men (ULSAM); Whitehall Study II (Whitehall-II); Ely case_control study (Ely case)",,
514,23396134,45758,Domante,British 1958 Birth Cohort Study (B58C); Avon Longitudinal Study of Parents and Children (ALSPAC); Australian & New Zealand Registry of Advanced Glaucoma (ANZRAG); Age-Related Eye Disease Study (AREDS); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); Estonian Genome Center of the University of Tartu (EGCUT); Fuchs Endothelial Corneal Dystrophy Controls (FECD); Finnish Twin Study on Aging (FITSA); Framingham Eye Study (FES); Gutenberg Health Study I (GHS-I); Gutenberg Health Study II (GHS-II); Cooperative Health Research in the Region of Augsburg (KORA); Orkney Complex Disease Study (ORCADES); UK Adult Twin Register (TwinsUK); Wisconsin Epidemiologic Study of Diabetic Retinopathy (WESDR); Cardiovascular Risk in Young Finns Study (YFS); Erasmus Rucphen Family Study (ERF); Diabetes Control and Complication Trial (DCCT); Blue Mountain Eye Study (BMES); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Ogliastra Genetic Park-Talana Study (OGP-Talana); Beijing Eye Study (BES); Singapore Chinese Eyes Study (SCES); Singapore Malay Eye Study (SIMES); Singapore Indian Eye Study (SINDI); Singapore Prospective Study Program (SP2); Brisbane Adolescent Twins Study (BATS); Twins Eye Study in Tasmania (TEST),CREAM ,
515,23463857,45679,Pilar,NO NAME,,Samples are from the electronic MEdical Records and GEnomics (eMERGE) Network. They are not presented with a name.
516,20460622,45647,Domante,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS); Translational Genomics Research Institute (TGEN); The Mayo Clinic study (MAYO); NO NAME,CHARGE; European Alzheimers Disease Initiative 1 (EADI-1); GERAD1 Consortium,
517,22976474,45628,Domante,"Los Angeles component of The Womens Contraceptive and Reproductive Experiences Study (CARE); Carolina Breast Cancer Study (CBCS); Multiethnic Cohort Study of Diet and Health (MEC); Nashville Breast Health Study (NBHS); Northern California Breast Cancer Family Registry (NC-BCFR); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); San Francisco Bay Area Breast Cancer Study (SFBCS); Womens Circle of Health Study (WCHS); Wake Forest University Breast Cancer Study (WFBC); Australian Breast Cancer Tissue Bank (ABCTB); Bavarian Breast Cancer Cases and Controls (BBCC); National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); Harvard Breast Cancer SPORE Blood Repository (DFCI); Fox Chase Cancer Center (FCCC); Gene Environment Interaction and Breast Cancer in Germany (GENICA); Helsinki Breast Cancer Study (HEBCS); Cooperative Health Research in the Region of Augsburg (KORA); Mammary Carcinoma Risk Factor Investigation (MARIE); Mayo Clinic Breast Cancer Study (MCBCS); Melbourne Collaborative Cohort Study (MCCS); Prospective Study of Outcomes in Sporadic Versus Hereditary Breast Cancer Study (POSH); Queensland Institute of Medical Research (QIMR); Sheffield Breast Cancer Study (SBCS_b); Wellcome Trust Case Control Consortium (WTCCC); Cancer Prevention Study II (CPS-II); European Prospective Investigation into Cancer (EPIC); Nurses Health Study (NHS); Womens Health Study (WHS); Polish Breast Cancer Study (PBCS); San Francisco Bay Area Breast Cancer Study (SFBCS); Australian Breast Cancer Family Study (ABCFS); British Breast Cancer Study (BBCS); German Consortium for Hereditary Breast & Ovarian Cancer (GC-HBOC); Helsinki Breast Cancer Study (HEBCS); Singapore and Sweden Breast Cancer Study (SASBAC); UK Familial Breast Cancer Study (UKFBCS); Dutch Familial Bilateral Breast Cancer Study (DFBBCS)",NCI Breast and Prostate Cancer Cohort Consortium; Triple Negative Breast Cancer Consortium (TNBCC); African American Breast Cancer Consortium (AABC),
518,24064335,45511,Pilar,Omaha Osteoporosis Study (OOS),,
519,29921221,45374,,,,
520,23263487,45187,Domante,"Shanghai-Vanderbilt Colorectal Cancer Genetic Project (SVCRCGP); Asian Consortium, Colorectal Cancer Guangzhou (Guangzhou); Aichi Study (Aichi); Korean Cancer Prevention Study II (KCPS-II); Seoul Study (Korea-Seoul); Korean-National Cancer Center Study (Korea-NCC)",,
521,25233373,45052,Domante,Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Age-Related Eye Disease Study (AREDS); Framingham Eye Study (FES); Multi-Ethnic Study of Atherosclerosis (MESA); Ogliastra Genetic Park-Talana Study (OGP-Talana); Rotterdam Eye Study (RotES); Erasmus Rucphen Family Study (ERF); Blue Mountain Eye Study (BMES); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); CROATIA-Korcula Study (CROATIA-KORCULA); Diabetes Control and Complication Trial (DCCT); Orkney Complex Disease Study (ORCADES),,
522,19597491,44992,Domante,"Landspitali University Hospital, Reykjavik (LUHR); deCODE Genetics (deCODE); The Tromso Study (Tromso); Vanderbilt Genome-Wide Association Studies (Vanderbilt); Prince of Wales Hospital Diabetes Registry (PoWHDR); Stroke Registry (SR); South Stockholm Ischemic Stroke Study (SSISS); University of Munich (UM); Westphalian Stroke Register (WSR)",,
523,18952825,44932,Pilar,Northern Sweden Population Health Study (NSPHS); Micro-isolates in South Tyrol Study (MICROS); Erasmus Rucphen Family Study (ERF); Orkney Complex Disease Study (ORCADES); Colorectal Cancer Genetics Study (COGS); Rotterdam Study (RS),EUROSPAN Consortium,The Croatian samples were from the villages of Vis and Komiza on the Dalmatian island of Vis (no name given)
524,29471430,44916,Pilar,Japan Public Health Center Study (JPHC); The Japan Multi-institutional Collaborative Cohort Study (J-MICC); Tohoku Medical Megabank Organization (ToMMo); BioBank Japan Project (BBJ),,
525,24916648,44673,Pilar,BioBank Japan Project (BBJ); University of Tokyo (Tokyo); Osaka Acute Coronary Insufficiency Study (OACIS),,"For replication study 2, a total of 201 MI cases were recruited from The University of Tokyo Hospital. The diagnosis of MI required 1 of the following criteria: (1) one or more total occlusions of the coronary arteries on coronary angiography and (2) left ventricular asynergy on echocardiography"
526,26926045,44499,Pilar,CANDELA (CANDELA),,
527,28073367,44295,Pilar,LifeLines (LifeLines); Vlagtwedde/Vlaardingen Cohort study (VVC),,
528,27723757,44266,Pilar,NO NAME,,
529,29095316,44210,Pilar,Korean Association Resource Project (KARE); Ansan Study (Ansan); Ansung Study (Ansung),,
530,23824729,44147,Pilar,"Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Womens Genome Health Study (WGHS); Nurses Health Study (NHS); UK Adult Twin Register (TwinsUK); Cohorte Lausannoise (CoLaus); Baltimore Longitudinal Study of Ageing (BLSA); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Nijmegen Biomedical Study (NBS); Precocious Coronary Artery Disease Study (PROCARDIS); Womens Genome Health Study (WGHS); London Life Sciences Population Study (LOLIPOP); Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE); Coronary Artery Disease and genomics (CADomics); CHARGE (CHARGE); deCODE Genetics (deCODE); German Myocardial Infarction Family Study I (GerMIFS I); German Myocardial Infarction Family Study II (GerMIFS II); German Myocardial Infarction Family Study III (GerMIFS III); AtheroRemo 1 (AtheroRemo 1); AtheroRemo 2 (AtheroRemo 2); medSTARCARDIAC catheterization study (MedSTAR); Myocardial Infarction Genetics Consortium (MIGen); Ottawa Heart Genomics Study 1 (OHGS1); PennCATH (PennCATH); Wellcome Trust Case Control Consortium (WTCCC); CAD (CAD); Cooperative Health Research in the Region of Augsburg (KORA); Ludwigshafen Risk and Cardiovascular Health (LURIC)",Coronary ARtery DIsease Genome-wide Replication And Meta-Analysis (CARDIoGRAM) consortium; The Wellcome Trust Case Control Consortium.,
531,29187746,43808,Pilar,Generation Scotland: Scottish Family Health Study (GS:SFHS); UK Biobank (UKB),,
532,21353194,43803,Pilar,The Population Genetic Cohort (POPGEN); Cooperative Health Research in the Region of Augsburg (KORA); Heinz Nixdorf Recall Study (HNR); ANR (ANR); NEURO2006 (NEURO2006); MANAGE (MANAGE); Australian NHMRC program (NHMRC); INSERM (INSERM); AP-HP (AP-HP); BPAD (BPAD),Bipolar Disorder Genome Study (BiGS) Consortium; Wellcome Trust Case Control Consortium ,Munich controls
533,27325353,43796,Domante,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Health, Aging, and Body Composition Study (Health ABC); Health and Retirement Study (HRS); The Invecchiare in Chianti (InCHIANTI); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Osteoporotic Fractures in Men Study (MrOS); Religious Orders Study and Rush Memory and Aging Project (ROSMAP); Study of Health in Pomerania (SHIP); Study of Osteoporotic Fractures (SOF); Tasmanian Study of Cognition and Gait (TASCOG); UK Adult Twin Register (TwinsUK)",CHARGE,
534,21871595,43545,Domante,British 1958 Birth Cohort Study (B58C); UK National Blood Donor Service (UKBS); Wellcome Trust Case Control Consortium (WTCCC); arcOGEN (arcOGEN),,not clear what is in arcOGEN
535,25648963,43504,Domante,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Korcula Study (CROATIA-KORCULA); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Helsinki Birth Cohort Study (HBCS); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Orkney Complex Disease Study (ORCADES); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Religious Orders Study (ROS); Religious Orders Study and Rush Memory and Aging Project (ROSMAP); Study of Health in Pomerania (SHIP); Tasmanian Study of Cognition and Gait (TASCOG); Baltimore Longitudinal Study of Ageing (BLSA); Hunter Community Study (HCS); Nurses Health Study (NHS); Sydney Memory and Ageing Study (MAS); Three City Study (3C); Womens Genome Health Study (WGHS); Reasons for Geographic and Racial Differences in Stroke (REGARDS); Swiss Memory Genetics Study (Swiss MGS),,
536,20818381,43425,Domante,BioBank Japan Project (BBJ); University of Tokyo (Tokyo); NO NAME,,
537,24737748,43417,Domante,NO NAME; NO NAME; British 1958 Birth Cohort Study (B58C); Colon Cancer Family Registry (CCFR); National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); National Study of Colorectal Cancer Genetics (NSCCG); Generation Scotland: Scottish Family Health Study (GS:SFHS); Swedish Low-Risk Colorectal Cancer Study Group (SLRCCSG),Colorectal Tumour Gene Identification (CORGI); Colorectal Cancer Genetics (COGENT),
538,29030101,43380,,,,
539,26068415,43300,Pilar,Cooperative Health Research in the Region of Augsburg (KORA),,
540,27611488,43288,Domante,Childrens Hospital of Philadelphia (CHOP); University of Washington (WASHU); Marshfield Clinic (Marshfield); The Mayo Clinic study (MAYO); Northwestern University (Northwestern); Mount Sinai BioMe BioBank (Mount Sinai); Vanderbilt Genome-Wide Association Studies (Vanderbilt); Geisinger Health System (GeHS),eMERGE,
541,23028356,43269,Domante,BioBank Japan Project (BBJ); RIKEN (RIKEN); University of Tokyo (Tokyo); Tokyo Womens Medical University (TWMU); Kyoto University (Kyoto),,
542,24046328,43205,Domante,British 1958 Birth Cohort Study (B58C); UK National Blood Donor Service (UKBS); NO NAME,,
543,28941034,43188,,,,
544,28525603,43176,Pilar,Northern Finland Birth Cohort 1966 (NFBC66),,
545,24823311,43155,Pilar,Atherosclerosis Risk in Communities Study (ARIC); Coronary Artery Risk Development in Young Adults (CARDIA); Cardiovascular Health Study (CHS); The Invecchiare in Chianti (InCHIANTI); Multi-Ethnic Study of Atherosclerosis (MESA),,
546,23942779,43128,Pilar,Minnesota Center for Twin and Family Research (MCTFR),,
547,25939698,42873,Domante,Collaborative Association Study of Psoriasis (CASP); Kiel PopGen biobank study (KIEL); Wellcome Trust Case Control Consortium (WTCCC); PsA (PsA); Genizon BioSciences (Genizon); Psoriasis Association Genetics Extension (PAGE); Genetic Analysis of Psoriasis Consortium (GAPC); NO NAME; NO NAME; NO NAME; NO NAME,,
548,22961080,42868,Domante,Nutrition and Health of Aging Population in China (NHAPC); Gut Microbiota and Obesity Study (GMOS); Fudan-Huashan Study (Fudan-Huashan); Beijing Type 2 Diabetes Studies (BTDS); Guizhou-Bijie Type 2 Diabetes Study (GBTDS); Beijing Type 2 Diabetes Studies (BTDS); Hubei Type 2 Diabetes Studies (HTDS); Shanghai DIabetes Inpatient Database (SDIID); Shanghai Diabetes Study (SDS),,
549,20622881,42513,Domante,"deCODE Genetics (deCODE); NO NAME; Nijmegen Biomedical Study (NBS); Nijmegen Bladder Cancer Study (NBCS); NO NAME; University Hospital of Liege (UHL); Dalhousie University Hospital (DUH); UK Small Aneurysm Trial (UKSAT); NO NAME; Presbyterian University Hospital (PUH); Geisinger Medical Center (GMC); NO NAME; Linz Peripheral Arterial Disease study (LIPAD); A. Gemelli University Hospital of Rome (AGUHR); Viborg Hospital, Denmark (Viborg); Inter99 Study (Inter99); Malm� University Hospital (MUH); Emory Genebank Study (EGS); CATHGEN (CATHGEN); Genetic STudy of Aspirin Responsiveness (GeneSTAR); PennCATH (PennCATH); Verona Heart Study (VHS); Ottawa Hospital (Ottawa); NO NAME; University of Utrecht (Utrecht); University Hospital of Kuopio (UHK); University Hospital of Helsinki (UHH)",,
550,21909108,42451,Domante,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Old Order Amish (OOA); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Austrian Stroke Prevention Study (ASPS); Carotid Atherosclerosis Progression Study (CAPS_b); Gutenberg Health Study (GHS); Cooperative Health Research in the Region of Augsburg (KORA); Orkney Complex Disease Study (ORCADES); Cardiovascular Risk in Young Finns Study (YFS),,
551,26237428,42399,Domante,"GenoMEL (GenoMEL); Wellcome Trust Case Control Consortium (WTCCC); Leeds Melanoma Cohort (LMC); Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH); MD Anderson Cancer Center Study (MDACCS); Queensland study of Melanoma: Environment and Genetic Associations (Q-MEGA); Australian Melanoma Family Study (AMFS); Western Australian Melanoma Health Study (WAMHS); MELARISK (MELARISK); Essen-Heidelberg (Essen-Heidelberg); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); Breakthrough Generations Study (BGS); A Sygros Hospital, Athens (Sygros)",,
