In Charge,PUBMEDID,DATASETS,Consortia,NOTES
Domante,20705733,"Framingham Heart Study (FHS); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Rotterdam Study (RS); Health, Aging, and Body Composition Study (Health ABC); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES)",CHARGE,
Domante,25939698,Collaborative Association Study of Psoriasis (CASP); Kiel PopGen biobank study (KIEL); Wellcome Trust Case Control Consortium (WTCCC); PsA (PsA); Genizon BioSciences (Genizon); Psoriasis Association Genetics Extension (PAGE); Genetic Analysis of Psoriasis Consortium (GAPC); NO NAME; NO NAME; NO NAME; NO NAME,,
Domante,23103227,NO NAME,,
Domante,21998595,"Multiethnic Cohort Study of Diet and Health (MEC); Los Angeles component of The Womens Contraceptive and Reproductive Experiences Study (CARE); Womens Circle of Health Study (WCHS); San Francisco Bay Area Breast Cancer Study (SFBCS); Northern California Breast Cancer Family Registry (NC-BCFR); Carolina Breast Cancer Study (CBCS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Nashville Breast Health Study (NBHS); Wake Forest University Breast Cancer Study (WFBC); NBHS/Southern Community Cohort (SCCS); Cancer Prevention Study II (CPS-II); Prostate Cancer Case-Control Studies at MD Anderson (MDA); Los Angeles Study of Aggressive Prostate Cancer (LAAPC); Prostate Cancer Genetics Study (CaP Genes); Case-Control Study of Prostate Cancer among African Americans in Washington, DC (DCPC); King County Prostate Cancer Studies (KCPCS); Gene-Environment Interaction in Prostate Cancer Study (GECAP); Atherosclerosis Risk in Communities Study (ARIC); Coronary Artery Risk Development in Young Adults (CARDIA); Cleveland Family Study (CFS); Jackson Heart Study (JHS); Multi-Ethnic Study of Atherosclerosis (MESA); Maywood Cohort (Maywood); Nigerian cohort (Nigerian); Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS); Health, Aging, and Body Composition Study (Health ABC); Genetic STudy of Aspirin Responsiveness (GeneSTAR); Womens Health Initiative (WHI)",AABC; AAPC; Candidate gene Association Resource (CARe),two NBHS
Domante,21983785,Brisbane Adolescent Twins Study (BATS); Queensland Institute of Medical Research (QIMR),,
Domante,20818381,BioBank Japan Project (BBJ); University of Tokyo (Tokyo); NO NAME,,
Domante,19571811,University of Aberdeen (Aberdeen); University College London (UCL); Portuguese Island Collection (PIC); Karolinska Institutet (Karolinska); Cardiff University (Cardiff UK); Trinity College Dublin (Trinity); University of Edinburgh (Edinburgh),,
Domante,26733130,NO NAME; Prospective Epidemiological Risk Factor study (PERF); Dubbo Osteoporosis Epidemiology Study (DOES); Korean Osteoporosis Study at Asan Medical Center (KorAMC); NO NAME,,Icelandic population; Korean and Chinese samples
Domante,28270201,NO NAME,,medical records from UK hospitals
Domante,24234648,NO NAME,International Multiple Sclerosis Genetics Consortium (IMSGC),not clear which datasets from a consortium
Domante,19430482,Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS); Womens Genome Health Study (WGHS); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES),CHARGE,
Domante,23326517,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Blue Mountain Eye Study (BMES); Cardiovascular Health Study (CHS); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Singapore Malay Eye Study (SIMES); Singapore Indian Eye Study (SINDI),,
Domante,22426144,Shanghai Endometrial Cancer Study (SECGS); Shanghai Endometrial Cancer Study (SECS); Shanghai Breast Cancer Study (SBCS); Shanghai Womens Health Study (SWHS); Australian National Endometrial Cancer Study (ANECS); Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH); Wellcome Trust Case Control Consortium (WTCCC); Newcastle Endometrial Cancer Study (NECS); Bavarian Endometrial Cancer Cases and Controls Study (BECS); Connecticut Endometrial Cancer Study (CECS); Hannover-Almaty Endometrial Cancer Study (HAECS); Hawaii Endometrial Cancer Study (HECS); Hannover-Jena Endometrial Cancer Study (HJECS); Leuven Endometrial Cancer Study (LES); Molecular Markers in Treatment of Endometrial Cancer (MoMaTEC); National Study of Endometrial Cancer Genetics (NSECG); Polish Endometrial Cancer Study (PECS),Australian/British Endometrial Cancer GWAS ,
Domante,27790247,Atherosclerosis Risk in Communities Study (ARIC); Framingham Heart Study (FHS); Multi-Ethnic Study of Atherosclerosis (MESA); Cardiovascular Health Study (CHS); Health and Retirement Study (HRS),,
Domante,23474815,Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Age-Related Eye Disease Study (AREDS); Framingham Eye Study (FES); Multi-Ethnic Study of Atherosclerosis (MESA); Ogliastra Genetic Park-Talana Study (OGP-Talana); Blue Mountain Eye Study (BMES); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); CROATIA-Korcula Study (CROATIA-KORCULA); Diabetes Control and Complication Trial (DCCT); Erasmus Rucphen Family Study (ERF); Orkney Complex Disease Study (ORCADES); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III),,
Domante,22705344,"Michigan, Mayo, Age-Related Eye Disease Study, Pennsylvania (MMAP); Genetic Association Information Network (GAIN)",,
Domante,25129146,NO NAME,,
Domante,20189936,Osaka-Midosuji Rotary Club (O-MRC); BioBank Japan Project (BBJ),,
Domante,20360844,Oregon-Sudden Unexpected Death Study (Oregon-SUDS); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS),,
Domante,19369658,Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS); NO NAME; NO NAME; NO NAME,CHARGE,
Domante,22990020,"Framingham Heart Study (FHS); Precocious Coronary Artery Disease Study (PROCARDIS); UK Adult Twin Register (TwinsUK); Cooperative Health Research in the Region of Augsburg (KORA); Marseille Thrombosis Association (MARTHA); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Health, Aging, and Body Composition Study (Health ABC); Cardiovascular Health Study (CHS); Atherosclerosis Risk in Communities Study (ARIC); CHS Longitudinal Investigation of Thromboembolism Etiology Study (LITE); Genetic STudy of Aspirin Responsiveness (GeneSTAR); Multi-Ethnic Study of Atherosclerosis (MESA); Ludwigshafen Risk and Cardiovascular Health (LURIC); Rotterdam Study (RS); Advanced Study of Aortic Pathology (ASAP); Cardiogenics Study (Cardiogenics)",,
Domante,20852633,"Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH); UK Ovarian Cancer Population Study (UKOPS); UK Familial Ovarian Cancer Registry (UKFOCR); Royal Marsden Hospital Study (RMH); British 1958 Birth Cohort Study (B58C); UK Colorectal control (UKCRC); Australian Ovarian Cancer Study (AOCS); Diseases of the Ovary and their Evaluation Study (DOVE); Poland Ovarian Cancer Study (POCS); Los Angeles County Case-Control Studies of Ovarian Cancer (LAC-CCOC); Malignant Ovarian Cancer Study (MaOCS); Gilda Radner Familial Ovarian Cancer Registry (GRFOCR); Hormones and Ovarian Cancer Prediction Study (HOPE); Genetic Epidemiology of Ovarian Cancer (FROC&GEOCS); Bavarian Ovarian Cancer Cases and Controls (BOCC); Moffitt Cancer Center Ovarian Cancer Study (MOF); UC Irvine Ovarian Cancer Study, California (UCIOCS); Mayo Clinic Ovarian Cancer Study (MOCS); North Carolina Ovarian Cancer Study (NCOCS); Hawaii Ovarian Cancer Study (HOCS); Hannover-Minsk Ovarian Cancer Study (HMOCS); Hannover-Jena Ovarian Cancer Study (HJOCS); Familial Ovarian Tumor Study (FOTS); German Ovarian Cancer Study (GOCS); Ovarian Cancer Study (OCS); Netherlands Ovarian Cancer Study (NetOCS); Southampton Ovarian Cancer Study (SOCS); Helsinki Ovarian Cancer Study (HeOCS); Belgium Ovarian Cancer Study (BOCS); Black Womens Health Study (BWHS); deCODE Genetics (deCODE); Gilda Radner Hereditary Cancer Program (GRHCP); Pelvic Mass Study (PMS); Cancer Genome Atlas (TCGA); Scottish Randomised Trial in Ovarian Cancer (SRTOC); Hormones and Ovarian Cancer Prediction Study (HOPE)",,
Domante,20729853,NO NAME,,
Domante,21738479,"Atherosclerosis Risk in Communities Study (ARIC); Coronary Artery Risk Development in Young Adults (CARDIA); Jackson Heart Study (JHS); Womens Health Initiative (WHI); Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS); Health, Aging, and Body Composition Study (Health ABC); Genetic STudy of Aspirin Responsiveness (GeneSTAR)",COGENT (Continental Origins and Genetic Epidemiology Network ),
Domante,21738480,"Rotterdam Study (RS); Framingham Heart Study (FHS); Atherosclerosis Risk in Communities Study (ARIC); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Health, Aging, and Body Composition Study (Health ABC); Baltimore Longitudinal Study of Ageing (BLSA); The Invecchiare in Chianti (InCHIANTI); Sorbs population (SORBS); UK Adult Twin Register (TwinsUK); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); UK Blood Services Donor Panel 1 (UKBS1); Italian Network on Genetic Isolates Studies (INGI); Rotterdam Study II (RS-II); Heart and Vascular Health Atrial Fibrillation Study (HVH)",,
Domante,25096241,"BioBank Japan Project (BBJ); NO NAME; NO NAME; Rotterdam Study (RS); Framingham Heart Study (FHS); Atherosclerosis Risk in Communities Study (ARIC); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Health, Aging, and Body Composition Study (Health ABC); Baltimore Longitudinal Study of Ageing (BLSA); The Invecchiare in Chianti (InCHIANTI); Atherosclerosis Risk in Communities Study (ARIC); Coronary Artery Risk Development in Young Adults (CARDIA); Genetic STudy of Aspirin Responsiveness (GeneSTAR); Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS); Health, Aging, and Body Composition Study (Health ABC); Jackson Heart Study (JHS); Womens Health Initiative (WHI); NO NAME",RIKEN; CHARGE; COGENT,
Domante,19198609,Italian Atherosclerosis Thrombosis and Vascular Biology (IATVB); Heart Attack Risk in Puget Sound (HARPS); Registre Gironi del COR (REGICOR); Massachusetts General Hospital Premature Coronary Artery Disease (MGH PCAD); FINRISK (FINRISK); Malmo Diet and Cancer Study (MDC); Wellcome Trust Case Control Consortium MI Study (WTCCC-MI); German Myocardial Infarction Family Study I (GerMIFS I); PennCATH (PennCATH); medSTARCARDIAC catheterization study (MedSTAR); Acute Myocardial Infarction Gene Study/Dortmund Health Study (AMI); Verona Heart Study (VHS); Mid-America Heart Institute (MAHI); Irish Family Study (IFS); German Myocardial Infarction Family Study II (GerMIFS II); INTERHEART Study (ITH),,
Domante,23393555,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Rotterdam Study (RS); Blue Mountain Eye Study (BMES); Multi-Ethnic Study of Atherosclerosis (MESA),CHARGE,
Domante,19684603,St. Jude Childrens Research Hospital (SJCRH); NO NAME; Wellcome Trust Case Control Consortium (WTCCC); Genetic Association Information Network (GAIN); Childrens Oncology Group 9906 study (COG),,
Domante,27764105,Cardiovascular Risk in Young Finns Study (YFS); Health 2000 Study (Health 2000); FINRISK (FINRISK),,
Domante,24931836,Wellcome Trust Case Control Consortium (WTCCC); NO NAME,,
Domante,19801982,Rotterdam Study (RS); Erasmus Rucphen Family Study (ERF); UK Adult Twin Register (TwinsUK); deCODE Genetics (deCODE); Framingham Osteoarthritis Study (FOS),GEnetic Factors of Osteoporosis (GEFOS) ,
Domante,22037553,"Los Angeles component of The Womens Contraceptive and Reproductive Experiences Study (CARE); Carolina Breast Cancer Study (CBCS); Multiethnic Cohort Study of Diet and Health (MEC); Nashville Breast Health Study (NBHS); Northern California Breast Cancer Family Registry (NC-BCFR); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); San Francisco Bay Area Breast Cancer Study (SFBCS); Womens Circle of Health Study (WCHS); Wake Forest University Breast Cancer Study (WFBC); Amsterdam Breast Cancer Study (ABCS); Australian Breast Cancer Tissue Bank (ABCTB); Bavarian Breast Cancer Cases and Controls (BBCC); British Breast Cancer Study (BBCS); Breast Cancer In Galway Genetic Study (BIGGS); National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); Hellenic Cooperative Oncology Group (Demokritos); Harvard Breast Cancer SPORE Blood Repository (DFCI); Fox Chase Cancer Center (FCCC); Gene Environment Interaction and Breast Cancer in Germany (GENICA); Helsinki Breast Cancer Study (HEBCS); Karolinska Breast Cancer Study (KARBAC); Kuopio Breast Cancer Project (KBCP); Cooperative Health Research in the Region of Augsburg (KORA); Leuven Multidisciplinary Breast Centre (LMBC); Mammary Carcinoma Risk Factor Investigation (MARIE); Mayo Clinic Breast Cancer Study (MCBCS); Melbourne Collaborative Cohort Study (MCCS); Nashville Breast Health Study (NBHS); Oulu Breast Cancer Study (OBCS); Prospective Study of Outcomes in Sporadic Versus Hereditary Breast Cancer Study (POSH); Queensland Institute of Medical Research (QIMR); Roswell Park Cancer Institute (RPCI); Sheffield Breast Cancer Study (SBCS_b); St_dtisches Klinikum Karlsruhe Deutsches Krebsforschungszentrum Study (SKKDKFZS); University of Washington (WASHU); Wellcome Trust Case Control Consortium (WTCCC); Cancer Prevention Study II (CPS-II); European Prospective Investigation into Cancer (EPIC); Melbourne Collaborative Cohort Study (MCCS); Nurses Health Study (NHS); Nurses Health Studies II (NHS2); Womens Health Study (WHS); Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH)",AABC; TNBCC; BPC3; SEARCH,
Domante,26488411,BioBank Japan Project (BBJ); Tokyo Medical University Hospital (TMUH); University of Tokyo (Tokyo); NO NAME,,
Domante,21829393,Genetic Resource Investigating Diabetes (GRID); British 1958 Birth Cohort Study (B58C); National Health Service Blood and Transplant (NHSBT),,
Domante,24216480,NO NAME,,
Domante,26087016,Avon Longitudinal Study of Parents and Children (ALSPAC); British 1958 Birth Cohort Study (B58C); British 1958 Birth Cohort Study (B58C); Generation R Study Group (Generation R); German Infant Study on the influence of Nutrition Intervention (GINI); Netherlands Twin Registry (NTR); Western Australian Pregnancy Cohort Study (RAINE); Tracking Adolescents Individual Lives Survey (TRAILS); Cardiovascular Risk in Young Finns Study (YFS); Lifestyle Immune System Allergy study (LISA); Wellcome Trust Case Control Consortium 2 (WTCCC2); Type 1 Diabetes Genetics Consortium (T1DGC),EAGLE,
Domante,23300701,"Association Study Evaluating Risk for Sporadic Colorectal Cancer (ASTERISK); Colon Cancer Family Registry (CCFR); Hawaiian Colorectal Cancer Studies 2&3 (Hawaiian Colo2&3); Darmkrebs: Chancen der Verh�tung durch Screening (DACHS); Diet, Activity, and Lifestyle Study (DALS); Health Professional Follow-up Study (HPFS); Multiethnic Cohort Study of Diet and Health (MEC); Nurses Health Study (NHS); Ontario Registry for Studies of Familial Colorectal Cancer (OFCCR); Physicians Health Study (PHS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Postmenopausal Hormones Supplementary Study to the Colon Cancer Family Registry (PMH-CCFR); VITamins And Lifestyle Cohort Study (VITAL); Womens Health Initiative (WHI)",,
Domante,25043464,Framingham Heart Study (FHS); National Institute on Aging - Late Onset Alzheimers Disease (NIA-LOAD); Alzheimer Disease Genetic Consortium (ADGC),,
Domante,22961001,ChOPIN (ChOPIN); Early Genetics and Lifecourse Epidemiology (EGLE); People of the British Isles (PoBI); BEACON (BEACON); NO NAME,,
Domante,22479309,Avon Longitudinal Study of Parents and Children (ALSPAC); Study of Health in Pomerania (SHIP); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); The Invecchiare in Chianti (InCHIANTI); Busselton Health Study (BHS); CROATIA-Vis Island Study (CROATIA-VIS); Micro-isolates in South Tyrol Study (MICROS); Western Australian Pregnancy Cohort Study (RAINE); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); Cohorte Lausannoise (CoLaus); Hypertension Genetic Epidemiology Network (HYPERGEN); Family Heart Study (FamHS); Nord-Tr�ndelag Health Study (HUNT); TEENs of Attica: Genes and Environment (TEENAGE); FatTwin (FatTwin),,
Domante,23776548,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Rotterdam Study (RS); Blue Mountain Eye Study (BMES); Australian Twin Eye study (ATES); Multi-Ethnic Study of Atherosclerosis (MESA),CHARGE,
Domante,21876539,Erasmus Rucphen Family Study (ERF); Cooperative Health Research in the Region of Augsburg (KORA); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Netherlands Twin Registry (NTR); Study of Health in Pomerania (SHIP); UK Adult Twin Register (TwinsUK); Queensland Institute of Medical Research (QIMR); LifeLines (LifeLines),,
Domante,23028483,FINRISK (FINRISK); Framingham Heart Study (FHS); Health 2000 Study (Health 2000); Helsinki Birth Cohort Study (HBCS); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Cardiovascular Risk in Young Finns Study (YFS); British 1958 Birth Cohort Study (B58C); Australian Asthma Genetics Consortium (AAGC); European Community Respiratory Health Survey (ECRHS); European Prospective Investigation into Cancer (EPIC),,
Domante,18193044,"Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); SardiNIA Study of Aging (SardiNIA); Malmo Diet and Cancer Study - Cardiovascular Cohort (MDC-CC); FINRISK97 (FINRISK97); Nordic Diltiazem study (NORDIL)",,
Domante,25192705,"Colon Cancer Family Registry (CCFR); Genetics and Epidemiology of Colorectal Cancer Consortium (GECCO); Darmkrebs: Chancen der Verh�tung durch Screening (DACHS); Health Professional Follow-up Study (HPFS); Nurses Health Study (NHS); Physicians Health Study (PHS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Postmenopausal Hormone study (PMH); Womens Health Initiative (WHI)",,
Domante,18521185,"Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); SardiNIA Study of Aging (SardiNIA); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); The older order AMISH population studies (AMISH); Metabolic Syndrome In Men (METSIM); Caerphilly Prospective Study (CaePS); British Womens Heart & Health Study (BWHHS); Inter99 Study (Inter99)",,
Domante,25297839,Geisinger Health System (GeHS); Group Health Research Institute/University of Washington (GHRI); The Mayo Clinic study (MAYO); Marshfield Clinic (Marshfield); Northwestern University (Northwestern); Vanderbilt Genome-Wide Association Studies (Vanderbilt); Icahn School of Medicine Mount Sinai (ISMMS),Medical Records and Genomics Network (eMERGE),
Domante,24980573,National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); PANSCAN (PANSCAN); MD Anderson Cancer Center Study (MDACCS); GenoMEL (GenoMEL); Queensland study of Melanoma: Environment and Genetic Associations (Q-MEGA),,
Domante,24743840,"Colon Cancer Family Registry (CCFR); Darmkrebs: Chancen der Verh�tung durch Screening (DACHS); Diet, Activity, and Lifestyle Study (DALS); Health Professional Follow-up Study (HPFS); Nurses Health Study (NHS); Ontario Registry for Studies of Familial Colorectal Cancer (OFCCR); Postmenopausal Hormones Supplementary Study to the Colon Cancer Family Registry (PMH-CCFR); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); VITamins And Lifestyle Cohort Study (VITAL); Womens Health Initiative (WHI)",GECCO,
Domante,22430674,Three City Study (3C); Rotterdam Study (RS); Cardiovascular Health Study (CHS),,
Domante,24586183,United Kingdom Graves disease cohort (UKGDC); British 1958 Birth Cohort Study (B58C); Nijmegen Thyroid Cancer Cohort (NTCC); Ohio Thyroid Cancer Cohort (OTCC); Busselton Health Study (BHS); Cardiovascular Health Study (CHS); Helsinki Birth Cohort Study (HBCS); Cooperative Health Research in the Region of Augsburg (KORA); Nijmegen Biomedical Study (NBS); Rotterdam Study (RS); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Study of Health in Pomerania Trend (SHIP-TREND); UK Adult Twin Register (TwinsUK); Val Borbera (Val Borbera); Asklepios Study (Asklepios); CARLA (CARLA); Exeter Family Study of Childhood Health (EFSOCH); Health2006 Study (Health2006); SardiNIA Study of Aging 2 (SardiNIA2),,
Domante,19330030,"Nurses Health Study (NHS); National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); Womens Health Initiative (WHI); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Cancer Prevention Study II (CPS-II); Polish Breast Cancer Study (PBCS)",,
Domante,20031564,Womens Genome Health Study (WGHS); Pravastatin Inflammation CRP Evaluation study (PRINCE),PARC consortium,
Domante,25329471,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II),,
Domante,26307654,"Cancer Prostate in Sweden (CAPS); Cancer Prostate in Sweden 1 (CAPS1); Cancer Prostate in Sweden 2 (CAPS2); CPCS (CPCS); European Prospective Investigation into Cancer (EPIC); ESTHER Breast Cancer Study (ESTHER); Fred Hutchinson Cancer Research Center, Seattle US (FHCRC); The Mayo Clinic study (MAYO); Melbourne Collaborative Cohort Study (MCCS); Multiethnic Cohort Study of Diet and Health (MEC); PCMUS (PCMUS); Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH); STHM1 (STHM1); Tampere University Hospital (TAMPERE); UK Genetic Prostate Cancer Study (UKGPCS); UK Genetic Prostate Cancer Study 2 (UKGPCS2); Center of Excellence-Baden-Wuerttemberg Type 2 Diabetes Cohort (ULM); Utah Chronic Lymphocytic Leukemia Study (UTAH); Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC); Cancer Prevention Study III (CPS-III); Health Professional Follow-up Study (HPFS); Physicians Health Study (PHS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); PCFS (PCFS)",PRACTICAL; BPC3,
Domante,25574825,NO NAME; The Population Genetic Cohort (POPGEN); Cooperative Health Research in the Region of Augsburg (KORA); ISAAC (ISAAC); Trinity College Dublin (Trinity); Kiel PopGen biobank study (KIEL); Wellcome Trust Case Control Consortium (WTCCC),,
Domante,19416921,Pritzker Neuropsychiatric Disorders Research Consortium (NIMH/Pritzker); GlaxoSmithKline (GSK); Wellcome Trust Case Control Consortium (WTCCC),,
Domante,23364009,International Collaborative Study of Cardiovascular Disease in Asia (InterASIA); NO NAME; China Cardiovascular Health Study (CCHS_b),,
Domante,26732560,"Cervical Artery Dissection and Ischemic Stroke Patients (CADISP); Genetics of Early Onset Stroke (GEOS); Genetics of Early Onset Stroke (GEOS); Milano Besta Institute Stroke Study (MILANO); Risk Assessment of Cerebrovascular Events Study, Pakistan 1 (RACE 1); Risk Assessment of Cerebrovascular Events Study, Pakistan 2 (RACE 2); Stroke In Young Fabry Patients (SIFAP); Wellcome Trust Case Control Consortium 2 (WTCCC2); Australian Stroke Genetics Collaborative (ASGC); Wellcome Trust Case Control Consortium 2 (WTCCC2)",,
Domante,26754954,Molecular Genetics of Schizophrenia Collaboration (MGS); Cohorte Lausannoise (CoLaus); Rotterdam Study (RS); Study of Health in Pomerania (SHIP); Queensland Institute of Medical Research (QIMR); Tracking Adolescents Individual Lives Survey (TRAILS); Netherlands Study of Depression and Anxiety (NESDA); Netherlands Twin Registry (NTR),Anxiety NeuroGenetics STudy (ANGST),
Domante,27064256,NO NAME,,different hospitals in different countries
Domante,21263130,"Berlin Birth Cohort (BBC); National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); British 1958 Birth Cohort Study (B58C); Colorectal Tumour Gene Identification study (CoRGI); Royal Marsden Hospital Breast Cancer Cases (RMH-BCC); Mammography, Oestrogens and Growth factor study (MOG); Breakthrough Generations Study (BGS)",,
Domante,17554260,Juvenile Diabetes Research Foundation/Wellcome Trust Diabetes and Inflammation Laboratorys British case collection (JDRF/WT); British 1958 Birth Cohort Study (B58C); AITD Autoimmune thyroid disease (AITD); U.S.A. Human Biological Data Interchange (HBDI),,
Domante,19567438,London Life Sciences Population Study (LOLIPOP); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Cohorte Lausannoise (CoLaus); Genetic Epidemiology of Metabolic Syndrome study (GEMS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Precocious Coronary Artery Disease Study (PROCARDIS); International Studies of Infarct Survival (ISIS); Wellcome Trust Case Control Consortium (WTCCC); German Myocardial Infarction Family Study I (GerMIFS I); INTERHEART Study (ITH),,
Domante,25663218,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Austrian Stroke Prevention Study (ASPS); Cardiovascular Health Study (CHS); Chicago Health and Aging Project (CHAP); Coronary Artery Risk Development in Young Adults (CARDIA); Epidemiology of Dementia in Singapore (EDIS); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Leiden Longevity Study (LLS); Lothian Birth Cohort Studies 1936 (LBC1936); Northern Manhattan Study (NOMAS); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Study of Health in Pomerania (SHIP); Study of Health in Pomerania Trend (SHIP-TREND); Three City Study (3C); Washington Heights-Inwood Columbia Aging Project (WHICAP),,
Domante,20541252,"Framingham Heart Study (FHS); UK Adult Twin Register (TwinsUK); Rotterdam Study (RS); British 1958 Birth Cohort Study (B58C); Amish Family Osteoporosis Study (AFOS); Cardiovascular Health Study (CHS); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Indiana cohort (Indiana cohort); Health, Aging, and Body Composition Study (Health ABC); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Canadian Multicentre Osteoporosis Study (CAMOS); Chingford study (Chingford); Hertfordshire Cohort Study (HerCS); Aberdeen Prospective Osteoporosis Screening Study (APOSS)",Study of Underlying Genetic Determinants of Vitamin D and Highly Related Traits (SUNLIGHT) consortium; CHARGE,
Domante,17603472,South Stockholm Ischemic Stroke Study (SSISS); NO NAME; NO NAME; NO NAME,,
Domante,18391950,"Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Nurses Health Study (NHS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); SardiNIA Study of Aging (SardiNIA); FINRISK97 (FINRISK97); European American and Poland Extreme Height panels (EAPEH); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Botnia Prevalence, Prediction and Prevention of Diabetes study (BPPP)",,
Domante,24514567,NO NAME,,
Domante,22190364,International Multiple Sclerosis Genetics Consortium UK (IMSGC UK); International Multiple Sclerosis Genetics Consortium US (IMSGC US); Gene MSA CH (Gene MSA CH); Gene MSA NL (Gene MSA NL); Gene MSA US (Gene MSA US); ANZ (ANZ); Brigham and Womens Hospital (BWH); BayerScheringPharma (BayerScheringPharma); Myocardial Infarction Genetics Consortium (MIGen); Wellcome Trust Case Control Consortium 1 (WTCCC1),,
Domante,26819262,Queensland Institute of Medical Research (QIMR); Mexican-American families EBNA-1 GWAS (MAFEGWAS); Twin families EBNA-1 genome-wide association study (TFEGWAS),,GWAS within GWAS???
